standardized,pEC50
COC1=CC=CC(C2=NN=C(NS(C)(=O)=O)N2C2=C(OC)C=CC=C2OC)=N1,6.657577319
CCS(=O)(=O)NC1=NN=C(C2=NC(OC)=CC=C2)N1C1=C(OC)C=CC=C1OC,6.823908741
CCS(=O)(=O)NC1=NN=C(C2=CC=CC(C)=N2)N1C1=C(OC)C=CC=C1OC,6.080921908
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)CC3=NC=C(F)C=N3)N2C2=CC=CC=C2OC)=N1,8.619788758
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)CC3=NC=C(F)C=N3)N2C2=C(C)ON=C2C)=N1,6.853871964
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CN=CC=C2)=N1,7.251811973
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC=CC=C2)=N1,8.37675071
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=N1,6.26760624
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC=NC=C2)=N1,7.292429824
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC=C(Cl)C=C2)=N1,7.017728767
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC(F)=CC=C2)=N1,8.055517328
CCOC(C1=NC=C(F)C=N1)C(C)S(=O)(=O)NC1=NN=C(C2=NC(OC)=CC=C2)N1C1=CC=CC=C1,8.031517051
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC3=CC=CC=C3C=C2)=N1,7.27572413
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=C(C)C(Cl)=CC=C2)=N1,7.769551079
COC1=CN=C(C(OC)C(C)S(=O)(=O)NC2=NN=C(C3=CN=CC(C)=C3)N2C2=CC=CC=C2)N=C1,7.585026652
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC(Br)=CC=C2)=N1,7.920818754
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC=CC=C2C)=N1,8.187086643
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC=CC(C)=C2)=N1,8.22184875
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC(C(F)(F)F)=C(F)C=C2)=N1,6.455931956
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC=C(F)C=C2)=N1,6.744727495
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC(Cl)=CC=C2)=N1,7.619788758
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=C(Cl)C=C(F)C=C2)=N1,7.823908741
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC(Cl)=CC(Cl)=C2)=N1,7.22184875
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC=CC=C2Cl)=N1,8.677780705
COC1=CC=CC(C2=NN=C(NS(=O)(=O)C(C)C(OC)C3=NC=C(C)C=N3)N2C2=CC=CC(C)=C2C)=N1,8.585026652
